Object URL,Object,Date Publication,Tag,Category,published_in_Tag,Subject_Tag,depicts_Tag,publisher_Tag,author_Tag
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,remand,erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,criminal investigation,erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,Louvre Museum,erroneous provenance (artwork),,
https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380,Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria,2022-09-20T00:00:00Z,news article,Event,The Australian,Max Emden,erroneous provenance (artwork),,
https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380,Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria,2022-09-20T00:00:00Z,news article,Event,The Australian,persecution of Jews in the Nazi era,erroneous provenance (artwork),,
https://www.lootedart.com/news.php?r=VFOPAF595941,"MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs",2022-05-04T00:00:00Z,news article,Event,Houston Chronicle,claim for restitution of an artwork,erroneous provenance (artwork),,
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,Rue Saint-Honoré in the Afternoon. Effect of Rain,erroneous provenance (artwork),,
https://www.lootedart.com/news.php?r=VFOPAF595941,"MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs",2019-04-30T00:00:00Z,news article,Event,Houston Chronicle,The Marketplace at Pirna,erroneous provenance (artwork),,
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,claim for restitution of an artwork,erroneous provenance (artwork),,
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,Hans Heinrich Thyssen-Bornemisza,erroneous provenance (artwork),,
https://www.lootedart.com/news.php?r=VFOPAF595941,"MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs",2022-05-04T00:00:00Z,news article,Event,Houston Chronicle,The Marketplace at Pirna,erroneous provenance (artwork),,
https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380,Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria,2022-09-20T00:00:00Z,news article,Event,The Australian,Lady with a fan,erroneous provenance (artwork),,
https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380,Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria,2022-09-20T00:00:00Z,news article,Event,The Australian,National Gallery of Victoria,erroneous provenance (artwork),,
https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380,Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria,2022-09-20T00:00:00Z,news article,Event,The Australian,claim for restitution of an artwork,erroneous provenance (artwork),,
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,The Holocaust,erroneous provenance (artwork),,
